;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
       229.858	  2.730e-004 	             	
       230.239	             	  1.937e-005 	
       230.858	  2.720e-004 	             	
       231.295	             	  1.952e-005 	
       231.858	  2.720e-004 	             	
       232.350	             	  1.962e-005 	
       232.923	  2.720e-004 	             	
       233.374	             	  1.965e-005 	
       233.923	  2.720e-004 	             	
       234.430	             	  1.977e-005 	
       234.924	  2.720e-004 	             	
       235.487	             	  1.987e-005 	
       235.924	  2.720e-004 	             	
       236.575	             	  1.946e-005 	
       236.924	  2.670e-004 	             	
       237.631	             	  1.966e-005 	
       237.924	  2.660e-004 	             	
       238.687	             	  1.970e-005 	
       238.924	  2.660e-004 	             	
       239.743	             	  1.985e-005 	
       239.924	  2.660e-004 	             	
       240.767	             	  1.994e-005 	
       240.924	  2.680e-004 	             	
       241.823	             	  2.007e-005 	
       241.924	  2.670e-004 	             	
       242.879	             	  2.020e-005 	
       242.924	  2.670e-004 	             	
       243.903	             	  2.027e-005 	
       243.924	  2.660e-004 	             	
       244.924	  2.680e-004 	             	
       244.959	             	  2.039e-005 	
       245.924	  2.670e-004 	             	
       246.015	             	  2.046e-005 	
       246.924	  2.660e-004 	             	
       247.038	             	  2.047e-005 	
       247.924	  2.660e-004 	             	
       248.094	             	  2.064e-005 	
       248.924	  2.660e-004 	             	
       249.150	             	  2.057e-005 	
       249.989	  2.670e-004 	             	
       250.206	             	  2.052e-005 	
       250.989	  2.680e-004 	             	
       251.230	             	  2.063e-005 	
       251.989	  2.680e-004 	             	
       252.287	             	  2.081e-005 	
       252.990	  2.680e-004 	             	
       253.343	             	  2.101e-005 	
       253.990	  2.690e-004 	             	
       254.367	             	  2.109e-005 	
       254.990	  2.690e-004 	             	
       255.423	             	  2.122e-005 	
       255.990	  2.670e-004 	             	
       256.479	             	  2.125e-005 	
       256.990	  2.670e-004 	             	
       257.503	             	  2.113e-005 	
       257.990	  2.670e-004 	             	
       258.559	             	  2.122e-005 	
       258.990	  2.660e-004 	             	
       259.615	             	  2.135e-005 	
       259.990	  2.660e-004 	             	
       260.703	             	  2.143e-005 	
       260.990	  2.660e-004 	             	
       261.758	             	  2.145e-005 	
       261.990	  2.660e-004 	             	
       262.814	             	  2.141e-005 	
       262.990	  2.660e-004 	             	
       263.870	             	  2.160e-005 	
       263.990	  2.660e-004 	             	
       264.894	             	  2.163e-005 	
       264.990	  2.660e-004 	             	
       265.950	             	  2.165e-005 	
       266.056	  2.660e-004 	             	
       267.006	             	  2.124e-005 	
       267.056	  2.660e-004 	             	
       268.030	             	  2.158e-005 	
       268.056	  2.660e-004 	             	
       269.086	             	  2.171e-005 	
       269.122	  2.650e-004 	             	
       270.123	  2.650e-004 	             	
       270.143	             	  2.185e-005 	
       271.123	  2.640e-004 	             	
       271.167	             	  2.202e-005 	
       272.123	  2.640e-004 	             	
       272.223	             	  2.208e-005 	
       273.123	  2.630e-004 	             	
       273.279	             	  2.219e-005 	
       274.123	  2.630e-004 	             	
       274.367	             	  2.227e-005 	
       275.123	  2.630e-004 	             	
       275.423	             	  2.232e-005 	
       276.123	  2.640e-004 	             	
       276.479	             	  2.215e-005 	
       277.123	  2.630e-004 	             	
       277.567	             	  2.236e-005 	
       278.123	  2.630e-004 	             	
       278.623	             	  2.241e-005 	
       279.123	  2.630e-004 	             	
       279.678	             	  2.245e-005 	
       280.189	  2.630e-004 	             	
       280.734	             	  2.240e-005 	
       281.255	  2.630e-004 	             	
       281.758	             	  2.239e-005 	
       282.255	  2.630e-004 	             	
       282.814	             	  2.250e-005 	
       283.255	  2.630e-004 	             	
       283.870	             	  2.270e-005 	
       284.255	  2.620e-004 	             	
       284.894	             	  2.285e-005 	
       285.255	  2.620e-004 	             	
       285.950	             	  2.288e-005 	
       286.255	  2.620e-004 	             	
       287.007	             	  2.302e-005 	
       287.256	  2.610e-004 	             	
       288.031	             	  2.285e-005 	
       288.256	  2.580e-004 	             	
       289.087	             	  2.324e-005 	
       289.256	  2.600e-004 	             	
       290.143	             	  2.301e-005 	
       290.256	  2.570e-004 	             	
       291.199	             	  2.310e-005 	
       291.256	  2.570e-004 	             	
       292.223	             	  2.328e-005 	
       292.256	  2.570e-004 	             	
       293.256	  2.570e-004 	             	
       293.279	             	  2.329e-005 	
       294.256	  2.570e-004 	             	
       294.334	             	  2.336e-005 	
       295.256	  2.570e-004 	             	
       295.358	             	  2.348e-005 	
       296.256	  2.600e-004 	             	
       296.414	             	  2.359e-005 	
       297.321	  2.600e-004 	             	
       297.470	             	  2.373e-005 	
       298.321	  2.570e-004 	             	
       298.494	             	  2.365e-005 	
       299.321	  2.570e-004 	             	
       299.550	             	  2.376e-005 	
       300.321	  2.560e-004 	             	
       300.606	             	  2.384e-005 	
       301.321	  2.560e-004 	             	
       301.694	             	  2.394e-005 	
       302.321	  2.560e-004 	             	
       302.750	             	  2.389e-005 	
       303.321	  2.560e-004 	             	
       303.807	             	  2.407e-005 	
       304.321	  2.560e-004 	             	
       304.863	             	  2.419e-005 	
       305.322	  2.550e-004 	             	
       305.887	             	  2.429e-005 	
       306.322	  2.540e-004 	             	
       306.943	             	  2.434e-005 	
       307.322	  2.560e-004 	             	
       307.999	             	  2.433e-005 	
       308.322	  2.540e-004 	             	
       309.023	             	  2.438e-005 	
       309.322	  2.550e-004 	             	
       310.079	             	  2.440e-005 	
       310.322	  2.560e-004 	             	
       311.134	             	  2.467e-005 	
       311.322	  2.570e-004 	             	
       312.158	             	  2.474e-005 	
       312.387	  2.570e-004 	             	
       313.214	             	  2.490e-005 	
       313.387	  2.570e-004 	             	
       314.270	             	  2.459e-005 	
       314.387	  2.590e-004 	             	
       315.358	             	  2.481e-005 	
       315.387	  2.580e-004 	             	
       316.387	  2.580e-004 	             	
       316.414	             	  2.506e-005 	
       317.387	  2.570e-004 	             	
       317.470	             	  2.518e-005 	
       318.387	  2.570e-004 	             	
       318.526	             	  2.529e-005 	
       319.387	  2.570e-004 	             	
       319.550	             	  2.534e-005 	
       320.387	  2.580e-004 	             	
       320.606	             	  2.499e-005 	
       321.387	  2.580e-004 	             	
       321.662	             	  2.497e-005 	
       322.388	  2.580e-004 	             	
       322.687	             	  2.509e-005 	
       323.388	  2.570e-004 	             	
       323.743	             	  2.516e-005 	
       324.388	  2.570e-004 	             	
       324.799	             	  2.543e-005 	
       325.388	  2.570e-004 	             	
       325.822	             	  2.547e-005 	
       326.388	  2.570e-004 	             	
       326.878	             	  2.563e-005 	
       327.388	  2.560e-004 	             	
       327.934	             	  2.570e-005 	
       328.453	  2.570e-004 	             	
       329.022	             	  2.570e-005 	
       329.453	  2.560e-004 	             	
       330.078	             	  2.583e-005 	
       330.453	  2.550e-004 	             	
       331.134	             	  2.596e-005 	
       331.453	  2.540e-004 	             	
       332.190	             	  2.589e-005 	
       332.453	  2.540e-004 	             	
       333.214	             	  2.611e-005 	
       333.453	  2.540e-004 	             	
       334.270	             	  2.616e-005 	
       334.453	  2.540e-004 	             	
       335.326	             	  2.604e-005 	
       335.453	  2.530e-004 	             	
       336.350	             	  2.625e-005 	
       336.453	  2.540e-004 	             	
       337.406	             	  2.641e-005 	
       337.453	  2.540e-004 	             	
       338.453	  2.540e-004 	             	
       338.462	             	  2.629e-005 	
       339.454	  2.530e-004 	             	
       339.487	             	  2.627e-005 	
       340.454	  2.530e-004 	             	
       340.542	             	  2.659e-005 	
       341.454	  2.540e-004 	             	
       341.598	             	  2.646e-005 	
       342.520	  2.540e-004 	             	
       342.688	             	  2.673e-005 	
       343.520	  2.540e-004 	             	
       343.742	             	  2.672e-005 	
       344.520	  2.530e-004 	             	
       344.798	             	  2.680e-005 	
       345.520	  2.530e-004 	             	
       345.854	             	  2.702e-005 	
       346.520	  2.530e-004 	             	
       346.878	             	  2.705e-005 	
       347.520	  2.530e-004 	             	
       347.934	             	  2.710e-005 	
       348.586	  2.510e-004 	             	
